error,numSignals,selectSignal,samples,doas
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
False,1,0,10000,[-1.239183768915974]
